Score,UpCourt,DownCourt,Start,End,Comment
2_00_01,Anthony Sinisuka GINTING,Viktor AXELSEN,52135,52212,0
2_01_01,Anthony Sinisuka GINTING,Viktor AXELSEN,52462,52789,0
2_01_02,Anthony Sinisuka GINTING,Viktor AXELSEN,53300,53391,0
2_02_02,Anthony Sinisuka GINTING,Viktor AXELSEN,53637,53931,0
2_02_03,Anthony Sinisuka GINTING,Viktor AXELSEN,54738,55122,0
2_03_03,Anthony Sinisuka GINTING,Viktor AXELSEN,55535,55685,0
2_04_03,Anthony Sinisuka GINTING,Viktor AXELSEN,56399,56484,0
2_04_04,Anthony Sinisuka GINTING,Viktor AXELSEN,56850,57174,0
2_04_05,Anthony Sinisuka GINTING,Viktor AXELSEN,57544,57794,1
2_05_05,Anthony Sinisuka GINTING,Viktor AXELSEN,58228,58438,0
2_05_06,Anthony Sinisuka GINTING,Viktor AXELSEN,59527,59738,0
2_05_07,Anthony Sinisuka GINTING,Viktor AXELSEN,60340,60471,0
2_06_07,Anthony Sinisuka GINTING,Viktor AXELSEN,60863,60975,0
2_07_07,Anthony Sinisuka GINTING,Viktor AXELSEN,62274,62343,0
2_08_07,Anthony Sinisuka GINTING,Viktor AXELSEN,62618,62789,0
2_08_08,Anthony Sinisuka GINTING,Viktor AXELSEN,63466,63644,0
2_09_08,Anthony Sinisuka GINTING,Viktor AXELSEN,63937,64504,0
2_10_08,Anthony Sinisuka GINTING,Viktor AXELSEN,65902,65984,0
2_11_08,Anthony Sinisuka GINTING,Viktor AXELSEN,66534,66662,1
2_12_08,Anthony Sinisuka GINTING,Viktor AXELSEN,68480,68783,0
2_13_08,Anthony Sinisuka GINTING,Viktor AXELSEN,69224,69460,1
2_13_09,Anthony Sinisuka GINTING,Viktor AXELSEN,69961,70155,1
2_14_09,Anthony Sinisuka GINTING,Viktor AXELSEN,70553,70728,1
2_15_09,Anthony Sinisuka GINTING,Viktor AXELSEN,71693,71772,0
2_15_10,Anthony Sinisuka GINTING,Viktor AXELSEN,72338,72431,0
2_15_11,Anthony Sinisuka GINTING,Viktor AXELSEN,72734,72948,0
2_16_11,Anthony Sinisuka GINTING,Viktor AXELSEN,73343,74442,1
2_17_11,Anthony Sinisuka GINTING,Viktor AXELSEN,75873,75933,0
2_18_11,Anthony Sinisuka GINTING,Viktor AXELSEN,76224,76395,0
2_19_11,Anthony Sinisuka GINTING,Viktor AXELSEN,76788,76865,0
2_20_11,Anthony Sinisuka GINTING,Viktor AXELSEN,77948,78195,0
2_21_11,Anthony Sinisuka GINTING,Viktor AXELSEN,78885,78991,1
