Score,UpCourt,DownCourt,Start,End,Comment
3_10_04,Anders ANTONSEN,Anthony Sinisuka GINTING,117090,117261,1
3_11_04,Anders ANTONSEN,Anthony Sinisuka GINTING,117669,117867,0
3_11_05,Anthony Sinisuka GINTING,Anders ANTONSEN,120610,121422,0
3_12_05,Anthony Sinisuka GINTING,Anders ANTONSEN,122831,123019,0
3_13_05,Anthony Sinisuka GINTING,Anders ANTONSEN,123474,123656,1
3_14_05,Anthony Sinisuka GINTING,Anders ANTONSEN,124251,124460,1
3_14_06,Anthony Sinisuka GINTING,Anders ANTONSEN,124918,125040,1
3_15_06,Anthony Sinisuka GINTING,Anders ANTONSEN,125578,125950,0
3_16_06,Anthony Sinisuka GINTING,Anders ANTONSEN,126394,126502,0
3_16_07,Anthony Sinisuka GINTING,Anders ANTONSEN,126884,127005,1
3_17_07,Anthony Sinisuka GINTING,Anders ANTONSEN,127519,127735,0
3_18_07,Anthony Sinisuka GINTING,Anders ANTONSEN,128343,128448,0
3_18_08,Anthony Sinisuka GINTING,Anders ANTONSEN,128859,128909,0
3_19_08,Anthony Sinisuka GINTING,Anders ANTONSEN,129208,129409,0
3_20_08,Anthony Sinisuka GINTING,Anders ANTONSEN,129810,129970,0
3_20_09,Anthony Sinisuka GINTING,Anders ANTONSEN,130354,130434,1
3_21_09,Anthony Sinisuka GINTING,Anders ANTONSEN,130724,130829,0
